"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"(-1.530188247794053, -5.020915064431004, -2.90670532426023)","(-1.8211386779417378, -5.539199677774887, 4.478321915861116)","20","912","4500","958","4500","1155","4500"
"(-1.4706438615829684, 1.4167927238208045, -5.641799802378383)","(1.0916873382449523, -3.371561791085293, 3.988619504589689)","21","102","4500","92","4500","70","4500"
"(4.6597816163539, -3.089713862001387, 2.177177884061545)","(7.02589027856019, 5.193748634956638, 4.468986018897996)","22","340","4500","378","4500","376","4500"
"(2.922679604852735, -3.0345019741125125, 4.271971640412086)","(5.231648244406987, 2.807017515925912, 3.887053615466796)","23","152","4500","60","4500","12","4500"
"(3.7642314905524583, 3.7486918254672736, -2.7888834474047233)","(-0.6398283319324332, 6.336481471624758, 4.453523506207376)","24","3787","4500","3828","4500","3835","4500"
"(0.37470308666602764, 5.5030174019422855, -2.3614396182759636)","(7.525734516008228, 3.7886610555151883, 3.6396567545729077)","25","780","4500","772","4500","815","4500"
"(-5.05356024398778, 2.7431850978909726, -1.713611501798193)","(9.509470226737335, -6.062409996453145, 3.805920033451089)","26","569","4500","629","4500","744","4500"
"(-2.851715356394139, 0.536948059829984, 5.251609877661389)","(-0.4502081663538675, 7.299831689813555, 4.29737427493299)","27","264","4500","240","4500","242","4500"
"(3.843912170449833, -3.9018402128038376, -2.4494861052095303)","(8.516789990691965, 4.0786443933067495, 4.072745468543536)","28","3781","4500","3806","4500","3846","4500"
"(-2.984099390088263, 4.402829249844458, 2.776732869180784)","(-1.6353200222266207, 9.745994661133754, 4.268777656566264)","29","262","4500","336","4500","308","4500"
"(-3.9566718519091975, -4.0298751930952745, 2.0260438752368537)","(4.781003685838364, 9.282405846747295, 3.671489963483835)","30","386","4500","437","4500","526","4500"
"(5.153334790333756, -1.6681947031783775, -2.5807493041795726)","(2.000914949684775, 5.28174350212268, 4.278392582094383)","31","185","4500","134","4500","62","4500"
"(-2.6752059546928453, -4.504386909065939, 2.924683174877467)","(1.0204764932076138, 2.0764229249428094, 3.660867830066426)","32","14","4500","8","4500","0","4500"
"(-4.003837762377782, -3.9457022863267706, -2.0977885117984068)","(2.61841259932317, -5.741324632683373, 3.665431397073997)","33","687","4500","650","4500","732","4500"
"(-2.5028132242672045, -1.7107620518759423, -5.177761984322417)","(-8.325502760761356, 0.5029319935259675, 3.5795031621061653)","34","3341","4500","3408","4500","3477","4500"
"(1.225841764364421, -5.342659577680945, -2.4399386479487535)","(2.858469506102331, -9.961449817326102, 3.7338170929925467)","35","782","4500","765","4500","832","4500"
"(-4.105401513774097, 3.1301574017951763, -3.0574160741855594)","(7.588795618605793, -9.377429983831778, 4.279670298094493)","36","771","4500","733","4500","859","4500"
"(-3.1943427533315405, -3.5135448198180868, 3.667584651152275)","(2.535731339610141, -5.229849321069111, 4.130044061051256)","37","500","4500","454","4500","400","4500"
"(-0.20303489855399875, 2.845577412436964, 5.2783961598006)","(-0.9795742753401626, 4.2688067748034175, 3.561298185109722)","38","74","4500","34","4500","0","4500"
"(-3.690370504812313, -4.481219208027189, -1.5165223199212992)","(1.7225417342215295, -4.757610718790318, 4.219835995404535)","39","505","4500","527","4500","681","4500"
"(3.2130500000037223, -4.054543541749982, 3.039241083811812)","(4.7106183457566875, -7.438725175717298, 3.590261196296617)","40","700","4500","675","4500","747","4500"
"(-1.6656968636412939, 4.998246006960933, -2.871060921045503)","(5.962649166225681, -0.7405581393765992, 4.246717503672539)","41","181","4500","135","4500","122","4500"
"(3.5388732597984873, -1.5001559586074296, 4.60715835965488)","(0.7817244991623475, -0.9459862053080936, 3.527068949202042)","42","26","4500","14","4500","0","4500"
"(5.759955572420505, -1.1111754314359588, -1.260238455338942)","(1.920314876496514, 4.120249391738122, 4.0058157808073664)","43","148","4500","116","4500","88","4500"
"(-2.2680852447870845, -5.059426219553364, 2.29303197781345)","(5.364736899982709, -1.0442280145803196, 3.626248147086193)","44","266","4500","264","4500","198","4500"
"(2.268810894525279, -5.255508518335864, 1.7978118195691617)","(-8.564090567419475, -9.646117394394336, 3.5770776272966893)","45","3525","4500","3629","4500","3727","4500"
"(5.133783910967144, 1.0529041521033482, -2.921584433484412)","(6.079943111229337, -4.6780799132338196, 3.636653064521837)","46","4079","4500","4117","4500","4148","4500"
"(-2.461287989536521, 5.314925513346015, -1.301394721115338)","(-4.245750548711564, 7.953868833985336, 4.355153056017695)","47","759","4500","798","4500","922","4500"
"(4.47657437737297, 1.8640940216390045, 3.5334735491209677)","(0.5041655679443284, -2.5501967627138384, 4.372920418097924)","48","804","4500","862","4500","946","4500"
"(-4.434297028614781, -3.6456926960607845, 1.7452606189068667)","(2.1898302758754546, 1.7131640003975583, 4.497390391342189)","49","172","4500","112","4500","74","4500"
"(2.4271384589657075, 5.426928924253033, -0.8108275723699702)","(-0.08396484086161671, -0.5653795426164621, 4.307593166986907)","50","54","4500","20","4500","22","4500"
"(-0.9981851942875225, 3.1105265886446376, 5.032718019046958)","(-1.0517628195311257, 4.211578826588326, 3.946468136828034)","51","78","4500","44","4500","8","4500"
