"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"(-6.178923654135948, -4.760036193191251, -5.410807156738262)","(8.993977697098511, 8.409205411107877, 3.9811679532170974)","53","786","13500","852","13500","787","13500"
"(-0.7298002025690966, 0.7884321084844347, -0.6280373581218569)","(2.4081697361903878, -5.016575360843909, 4.187585237315533)","54","7065","13500","7077","13500","6838","13500"
"(2.558836675421778, 5.575561955404615, 2.3323944563487964)","(2.3760611879398432, 0.7062206905749697, 4.23896173543061)","55","164","13500","148","13500","64","13500"
"(7.526430818374149, -2.017762338198632, 5.175810339407134)","(3.1078893011499513, 4.725685474957995, 3.7762756750165543)","56","148","13500","126","13500","50","13500"
"(-4.340247971586856, -6.098349014648726, -5.45622649731017)","(-3.085408520301227, 3.7565606075975406, 3.976611517346405)","57","420","13500","436","13500","382","13500"
"(5.531731081428806, 0.2870394583279482, -3.170146934158759)","(-8.108136962700938, -6.317688772333696, 4.33873285840947)","58","1326","13500","1438","13500","1617","13500"
"(3.9256796177101525, 3.6998712352720458, -3.0900044778897793)","(-1.795877310233271, 9.422404286696526, 4.405996996954238)","59","7152","13500","7193","13500","7153","13500"
"(-2.169395880745919, 7.5508524539653, -3.717223424236534)","(0.24323803009268907, -6.874228916716378, 4.24742490188323)","60","917","13500","1096","13500","1019","13500"
"(-6.669714278343257, -5.147443185028839, 4.137635234651696)","(-8.430180257973841, -2.0140469957812908, 4.235348624313792)","61","1232","13500","1438","13500","1630","13500"
"(-0.3593168231009633, -2.1117351165304554, -2.756108902846217)","(-1.8782340680728904, 1.4613848889895227, 4.343762312734049)","62","717","13500","770","13500","698","13500"
"(0.9983936769481018, 4.188023832441788, -5.9331456363477955)","(0.8944912321349978, -6.776488809453928, 3.887547488457294)","63","1158","13500","1266","13500","1206","13500"
"(2.214994253682965, -6.894913418212955, 4.758359046752466)","(1.1738589158380108, -2.5838588695142573, 4.440114651140596)","64","189","13500","242","13500","116","13500"
"(-2.658319675750278, -0.6584675782558327, -2.7431885267559846)","(2.431658445736012, -4.567490516161101, 4.238378174842468)","65","6672","13500","6621","13500","6540","13500"
"(-6.115545061618803, -7.705430834184344, -0.6220594474800761)","(7.8444120516866676, -2.6359598241399285, 3.6573003062135934)","66","6713","13500","6809","13500","6763","13500"
"(3.6172075804508106, -1.9284195561088269, 5.555689450608144)","(-6.548188677428666, -0.19032549890035888, 3.5175694382538767)","67","6829","13500","6951","13500","6955","13500"
"(-9.15488421523017, 0.2200324094763304, 2.670522675374402)","(5.714040628321273, 8.26094993874144, 4.418820286217649)","68","1302","13500","1366","13500","1480","13500"
"(0.6137958704382189, 5.425851817261803, 0.6869058196054374)","(-6.51011885452384, -7.481604965018793, 3.794739192743144)","69","7295","13500","7487","13500","7444","13500"
"(1.8319902089796716, -1.7052093525364755, -1.5357432780633788)","(-3.9924181152346927, 7.510980653555592, 3.7418052192222016)","70","1383","13500","1544","13500","1648","13500"
"(1.5562306000284276, 3.024132658533559, 3.661586103212843)","(-0.7385679794324034, -6.539530438463801, 4.284811834925752)","71","7111","13500","7184","13500","7205","13500"
"(-6.1074620301655465, 5.384039657771404, -2.225649245224208)","(-2.608510581490675, -6.922625923425592, 3.971388620225418)","72","5418","13500","5598","13500","5587","13500"
"(-2.8693186242377386, 3.908148411239099, 6.447553912002863)","(-6.143798646105374, -1.6029871965117515, 3.77795706478234)","73","1556","13500","1730","13500","1768","13500"
"(-3.0254363994984104, 2.2450791278158357, 6.143327369483291)","(0.8544434777428229, 4.255347460313017, 3.7262914176120185)","74","136","13500","46","13500","6","13500"
"(-5.458497976646368, 1.9668922250151184, -6.075598564484432)","(-8.918431896435788, -2.208767649326047, 4.433799571234449)","75","7243","13500","7225","13500","7183","13500"
"(1.8746483443977506, -4.918359592579003, -5.153505125723421)","(9.712029704918773, 9.307277045929784, 4.370109835098039)","76","7029","13500","6952","13500","6981","13500"
"(2.439241459895718, -1.0479850240226736, -8.979891784871686)","(-5.966228557046442, -7.645022694606578, 4.358305265022214)","77","7170","13500","7182","13500","6935","13500"
"(-5.222878892836496, 3.6453173981381193, -4.7705449483482045)","(-5.032838059471385, -8.291748530973367, 4.3869919376089825)","78","6959","13500","6873","13500","6700","13500"
"(-6.47940518306738, -4.236610566236078, 0.7683351361269996)","(-7.82483442691386, 4.134181541913014, 3.880527385212646)","79","1450","13500","1603","13500","1802","13500"
"(-2.9370830024468453, -4.841258132022557, -4.13134185227759)","(6.040439892028971, 0.973553096817179, 3.5140698438190956)","80","294","13500","330","13500","196","13500"
"(-2.3663116097696633, -4.855499659383513, 1.9920107402669622)","(3.701387712409323, -7.251501600742678, 3.7350101289391846)","81","1393","13500","1601","13500","1777","13500"
"(-2.6554273437321587, 8.604888570531829, 2.537614705213776)","(0.754765294150932, -9.150595050904665, 4.008176571132182)","82","1576","13500","1908","13500","2016","13500"
"(4.950050236685688, -8.021202942232057, 0.2997741256000333)","(6.285766477652878, 1.8889358463078914, 4.407003270314806)","83","621","13500","567","13500","563","13500"
"(-4.084843741486609, -3.737834534080842, 5.388072062900191)","(-2.506641153953675, -5.2024956197613985, 3.8961280924068586)","84","987","13500","1104","13500","958","13500"
"(2.7022073337770247, 1.4669450534672248, 2.368918032019529)","(-5.320569318247525, -6.475127062204049, 3.5226105324764565)","85","7249","13500","7360","13500","7318","13500"
"(-0.3252592708970592, 4.932671097600122, 6.969504147283133)","(-9.93821168899215, -9.70079963475144, 4.209934587817141)","86","7218","13500","7119","13500","7100","13500"
"(4.957041136462486, 1.121830218484448, -3.075537364565216)","(-4.796921784516219, -6.198583012473325, 3.9577741666058315)","87","1358","13500","1548","13500","1615","13500"
"(-2.1633274817411947, 6.364818529028748, -4.9859713758133735)","(5.626262869068315, 0.23992608330854637, 3.842386945621137)","88","228","13500","206","13500","128","13500"
"(-1.8400731012816351, 6.390246923942479, 6.937635436333114)","(2.1580547201887654, 2.5245118516402485, 3.6117392282117287)","89","48","13500","0","13500","0","13500"
"(2.3937359541046326, -1.7120252930993696, -5.05220751953877)","(2.1774520632957035, -0.8110069037103713, 3.6615872998316745)","90","224","13500","116","13500","30","13500"
"(-0.4504382167149993, 8.124824787338, -4.092849891229395)","(7.892513869349958, -7.457278776211231, 4.3351821499647825)","91","1338","13500","1502","13500","1806","13500"
"(-1.819257909626675, -1.1955206008300214, 2.956331873988274)","(7.51918900289127, -2.3867986983196214, 4.385700405852607)","92","6799","13500","6849","13500","6831","13500"
"(-3.4532614486999793, -2.891892725175883, 1.857631909826914)","(-5.4121256059850475, 6.738434705814861, 3.6136158029208403)","93","6993","13500","6870","13500","6883","13500"
"(-2.0681371667599993, -1.291636366362397, -0.14161278068545158)","(-7.863635827591322, 9.387617521625195, 3.6452585970797706)","94","7081","13500","7062","13500","7030","13500"
"(-5.557111642298841, 1.267535343152038, 3.647424212634726)","(-0.49848336551427685, -9.198509190171187, 3.762486028795368)","95","6979","13500","7153","13500","7000","13500"
"(-2.61306248718091, 4.639212355850336, -4.893563723863182)","(3.5047210502681168, 0.4605123046644053, 3.858019617659242)","96","120","13500","68","13500","24","13500"
"(-0.881598016467437, 2.041943869947487, 0.03471882691823845)","(-0.40799668695955305, -4.066009588196224, 3.5103370608640647)","97","7116","13500","7140","13500","6701","13500"
"(-0.3867474477179286, -8.176602602762294, 1.4417058544771313)","(-9.13836167924802, 4.75969074092761, 4.074009275431829)","98","6837","13500","6823","13500","6742","13500"
"(-3.936245090106337, -6.3731961312399354, -5.419640087611273)","(-8.411712473068793, 6.918676208391027, 3.8461565255620287)","99","6823","13500","6866","13500","6825","13500"
"(3.051924711775824, -6.276447172511237, -0.09037163146027993)","(-8.886064716667534, 7.797749161418274, 3.5432018002900447)","100","1062","13500","1304","13500","1421","13500"
